ts_start,ts_end,session_id,subject_id,protocol_version,notes,config_json,duration_sec,final_difficulty,lives_remaining,shields_collected,near_misses,meteors_spawned,meteors_avoided
2025-10-23T16:57:48.610Z,,20251023-165748-55d5b6,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T16:59:09.924Z,20251023-165748-55d5b6,anon001,v0.3-rehab,SESSION_END,{},72.93,1.25,0,2,0,223,180
2025-10-23T17:02:58.564Z,,20251023-170258-0da579,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T17:03:19.795Z,20251023-170258-0da579,anon001,v0.3-rehab,SESSION_END,{},18.27,0.60,0,0,0,16,2
2025-10-23T17:04:20.084Z,,20251023-170420-ed8050,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T17:05:07.474Z,20251023-170420-ed8050,anon001,v0.3-rehab,SESSION_END,{},44.64,0.80,0,1,0,63,43
2025-10-23T17:11:57.932Z,,20251023-171157-7182e6,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T17:12:14.338Z,20251023-171157-7182e6,anon001,v0.3-rehab,SESSION_END,{},16.39,0.95,2,1,0,16,8
2025-10-23T17:17:52.136Z,,20251023-171752-0aa1ef,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
2025-10-23T17:24:04.388Z,,20251023-172404-56b6e5,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T17:24:05.957Z,20251023-172404-56b6e5,anon001,v0.3-rehab,SESSION_END,{},1.47,0.93,3,0,0,0,0
2025-10-23T17:24:12.646Z,,20251023-172412-1146b0,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T17:25:19.980Z,20251023-172412-1146b0,anon001,v0.3-rehab,SESSION_END,{},58.92,1.19,0,0,0,91,71
2025-10-24T00:12:35.396Z,,20251024-001235-58dd6d,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-24T00:13:17.642Z,20251024-001235-58dd6d,anon001,v0.3-rehab,SESSION_END,{},40.17,0.73,0,0,0,61,37
