ts,session_id,type,detail_json
2025-10-23T17:03:09.885Z,20251023-170258-0da579,hit,"{""lives_after"": 1, ""difficulty"": 0.79}"
2025-10-23T17:03:12.569Z,20251023-170258-0da579,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T17:03:16.835Z,20251023-170258-0da579,hit,"{""lives_after"": 0, ""difficulty"": 0.74}"
2025-10-23T17:04:27.248Z,20251023-170420-ed8050,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 741}"
2025-10-23T17:04:36.133Z,20251023-170420-ed8050,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 354}"
2025-10-23T17:04:39.620Z,20251023-170420-ed8050,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T17:04:42.842Z,20251023-170420-ed8050,hit,"{""lives_after"": 2, ""difficulty"": 1.61}"
2025-10-23T17:04:42.943Z,20251023-170420-ed8050,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 844}"
2025-10-23T17:04:49.088Z,20251023-170420-ed8050,powerup_spawn,"{""kind"": ""shield"", ""x"": 728}"
2025-10-23T17:04:53.448Z,20251023-170420-ed8050,hit,"{""lives_after"": 1, ""difficulty"": 1.35}"
2025-10-23T17:04:59.104Z,20251023-170420-ed8050,powerup_spawn,"{""kind"": ""shield"", ""x"": 590}"
2025-10-23T17:05:02.604Z,20251023-170420-ed8050,powerup_pickup,"{""kind"": ""shield""}"
2025-10-23T17:05:03.138Z,20251023-170420-ed8050,shield_used,"{""difficulty"": 1.15}"
2025-10-23T17:05:04.727Z,20251023-170420-ed8050,hit,"{""lives_after"": 0, ""difficulty"": 1.2}"
2025-10-23T17:12:05.731Z,20251023-171157-7182e6,hit,"{""lives_after"": 2, ""difficulty"": 1.14}"
2025-10-23T17:12:06.901Z,20251023-171157-7182e6,powerup_spawn,"{""kind"": ""shield"", ""x"": 145}"
2025-10-23T17:12:10.609Z,20251023-171157-7182e6,powerup_pickup,"{""kind"": ""shield""}"
2025-10-23T17:24:20.686Z,20251023-172412-1146b0,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 635}"
2025-10-23T17:24:26.247Z,20251023-172412-1146b0,hit,"{""lives_after"": 2, ""difficulty"": 1.3}"
2025-10-23T17:24:26.687Z,20251023-172412-1146b0,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 769}"
2025-10-23T17:24:35.547Z,20251023-172412-1146b0,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 372}"
2025-10-23T17:24:39.037Z,20251023-172412-1146b0,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T17:24:45.278Z,20251023-172412-1146b0,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 199}"
2025-10-23T17:24:48.294Z,20251023-172412-1146b0,hit,"{""lives_after"": 1, ""difficulty"": 1.53}"
2025-10-23T17:24:49.685Z,20251023-172412-1146b0,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T17:24:54.763Z,20251023-172412-1146b0,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 399}"
2025-10-23T17:24:58.256Z,20251023-172412-1146b0,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T17:25:01.558Z,20251023-172412-1146b0,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 792}"
2025-10-23T17:25:10.220Z,20251023-172412-1146b0,powerup_spawn,"{""kind"": ""shield"", ""x"": 463}"
2025-10-23T17:25:11.571Z,20251023-172412-1146b0,hit,"{""lives_after"": 0, ""difficulty"": 1.72}"
2025-10-24T00:12:46.264Z,20251024-001235-58dd6d,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 164}"
2025-10-24T00:12:49.782Z,20251024-001235-58dd6d,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-24T00:12:53.084Z,20251024-001235-58dd6d,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 736}"
2025-10-24T00:12:55.920Z,20251024-001235-58dd6d,hit,"{""lives_after"": 2, ""difficulty"": 1.6}"
